EarthMarsRelay2.Mars.RadPer   EarthMarsRelay2.Earth.RadPer   
280278240.0458862             35339164.48805702              
280426527.0480246             32074018.08186353              
280888188.3249417             22225407.86814837              
281374043.9165891             12352213.97513985              
281882778.4111264             2580572.716383933              
282413048.1112772             7237771.952710677              
282963478.7997195             16727126.14552678              
283532663.6484017             25947616.08995811              
284119161.2739912             34834478.55664907              
284721493.9420213             43345124.44471727              
285338145.9223515             51419089.18195169              
285967561.9997243             58968348.53526676              
286608146.1429285             65897428.04783168              
287258260.3357958             72113887.18399701              
287916223.5720217             77529105.84293266              
288580311.0168951             82062504.1470589               
289248753.3393382             85651567.47947805              
289919736.2181778             88257879.99407603              
290591400.0255911             89862790.77768742              
291261839.6892556             90455578.76288538              
291929104.733553              90027526.89859869              
292591199.4987798             88578193.34096391              
293246083.5365905             86120963.4309686               
293891672.179792              82684322.73358063              
294525837.2848136             78316256.53978772              
295146408.1451888             73090527.30428627              
295751172.5747024             67099547.63706734              
296337878.1576417             60435194.53371393              
296904233.663384              53175998.44213653              
297447910.6205582             45388768.47329176              
297966545.0449287             37141264.21323306              
298457739.312942              28512440.555806                
298919064.1715492             19606851.71013251              
299348060.8728051             10668799.16272313              
299742243.4201755             4103521.241914059              
300099100.9112241             10150492.39984444              
300416099.9597802             19356426.92857271              
300690687.1784099             28784315.07504439              
300920291.7004505             38191223.64034716              
301102327.7186103             47510515.10280452              
301234197.0160419             56708099.25198536              
301313291.4634792             65759005.3188899               
301336995.4544669             74644856.56604102              
301302688.2484784             83347267.03320076              
301207746.1893625             91827212.25884713              
301049544.7648911             100027752.9358683              
300825460.4712737             107909634.0816142              
300532872.445674              115459403.5356105              
300169163.8290439             122676870.5717929              
299731722.8207282             129567167.8811453              
299217943.3856713             136136937.8695333              
298625225.574481              142393527.2469116              
297950975.416959              148345460.3665843              
297192604.3497673             153994975.3823386              
296347528.1405503             159325574.9103905              
295413165.2728723             164315693.1898172              
294386934.7595662             168959152.4114706              
293266253.3565322             173261607.9599207              
292048532.1547101             177232974.8307645              
290731172.5341714             180884785.604002               
289311561.4727308             184229061.6177564              
287787066.2112733             187277648.9347686              
286155028.291064              190040808.8958026              
284412756.9942058             192522213.6907311              
282557522.2377455             194718274.0582047              
280586546.9955122             196628541.271019               
278496999.3499498             198259653.2856397              
276285984.3112283             199621513.159737               
273950535.5822617             200724912.0756871              
271487607.498035              201580747.8576081              
268894067.4255382             202199187.6228269              
266166688.9792027             202588610.999239               
263302146.4868869             202754716.9358925              
260297011.235557              202701400.6620415              
257147750.1331546             202434137.4679938              
253850727.5464987             201961284.0169846              
250402211.212475              201292608.3373364              
246798383.271325              200438309.6629397              
243035357.6317957             199408515.1678244              
239109205.0441291             198212281.3258627              
235015987.4194595             196856431.5998117              
230751803.0858701             195345329.4397289              
226312844.7948968             193682776.4798766              
221695472.3653636             191875609.9414772              
216896301.8392431             189934253.2283877              
211912312.8865654             187870149.1136471              
206740975.8874998             185694812.7806618              
201380399.5934242             183420209.3372375              
195829499.47379               181058118.4071516              
190088185.7456056             178618139.5747046              
184157568.6256119             176106953.071637               
178040176.5362062             173530444.4678339              
171740180.8785135             170897061.9723769              
165263618.6501696             168219632.2722503              
158618601.8081096             165513724.775299               
151815500.1113816             162795519.3059021              
144867082.5643317             160081711.6079765              
137788601.8827126             157389840.3202415              
130597806.9851903             154736493.1723847              
123314870.6625012             152134319.2265602              
115962223.4315473             149592940.4606737              
108564290.0566304             147122534.1116785              
101147131.9419135             144735488.0285979              
93738005.932989               142445891.238346               
86364857.16244462             140267861.311552               
79055769.51765357             138214419.3500354              
71838401.27247624             136297605.899911               
64739434.83184253             134528300.7506304              
57784068.19601142             132913702.7137061              
50995571.87369291             131455647.284917               
44394929.15110462             130153802.4921343              
38000570.68671213             129008281.7005825              
31828207.28976849             128019572.0824335              
25890758.38103339             127187993.0243937              
20198369.07343776             126513283.3643046              
14758508.39169264             125994535.846708               
9576157.935410686             125630392.993353               
4654290.019834729             125418856.2701123              
124469.9578064449             125357005.8819786              
4414534.55351083              125442014.1436121              
8561435.847725924             125671914.5685612              
12457683.34743222             126045252.5049886              
16108545.54384624             126560743.207583               
19520585.76383251             127217041.3706752              
22701181.78735781             128012555.8746565              
25658307.28636317             128945154.3590017              
28400363.53118953             130011858.0026026              
30936037.21673751             131210681.4465329              
33274178.58023641             132544303.6887725              
35423696.93831944             134017760.8297936              
37393471.2756924              135634080.3463086              
39192273.5557882              137394312.4616595              
40828702.33676253             139298213.6749818              
42311124.07852989             141343973.3201944              
43647619.22524388             143527867.5633802              
44845929.59357056             145844097.3557561              
45913402.69020351             148286263.9239054              
46856927.02565517             150853581.4678843              
47682849.86051589             153552973.9210891              
48396864.33557685             156390295.9192556              
49003845.24273529             159366551.8490991              
49507599.38009814             162480074.1533934              
49910473.28611016             165727137.8447814              
50212721.22379542             169100875.2930989              
50411470.66595513             172591017.2773729              
50499032.66048852             176185674.8201146              
50460275.082185               179876582.7012765              
50269336.4199179              183665259.7539628              
49889680.44577483             187558147.0579348              
49298461.26173705             191557311.7252799              
48603609.03166974             195660210.2132957              
48266936.89864787             199862108.0971072              
48776036.52124829             204155248.4265285              
49705559.25010786             208526772.1362267              
50402609.81145053             212960365.186318               
50748257.56607132             217442066.235513               
50846978.70261169             221966274.0580639              
50795868.92460877             226535728.5082039              
50653815.67245111             231153462.3825011              
50454130.78373203             235817867.7668714              
50216067.27145757             240524310.3142073              
49951356.35536902             245266174.6365487              
49667616.75634205             250032015.555359               
49370129.97567434             254803920.3760487              
49062787.50659887             259563890.8426996              
48748613.01926439             264301454.3660975              
48430060.41424603             269014506.9951142              
